Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
80677;12;2024-02-01T11:35:26.917Z;Desenv;Test;8,612604016203703
73194;3;2024-02-01T11:35:49.17Z;Funil;Desenv;0,009843900462962964
80690;17;2024-02-01T13:57:25.593Z;Desenv;Backlog;22,016678425925928
80691;7;2024-02-01T14:04:05.763Z;Desenv;Test;2,988707361111111
99830;4;2024-02-01T18:31:53.67Z;Funil;Analise PO;0,005303935185185185
99830;6;2024-02-01T18:31:59.337Z;Analise PO;Refinamento;6,559027777777778e-05
99830;8;2024-02-01T18:32:04.903Z;Refinamento;Backlog;6,44212962962963e-05
99830;10;2024-02-01T18:32:11.893Z;Backlog;Em Sprint;8,090277777777778e-05
100131;13;2024-02-01T19:00:45.44Z;Em Sprint;Backlog;7,041052048611111
100138;16;2024-02-01T19:00:52.453Z;Em Sprint;Backlog;7,036825497685185
100278;14;2024-02-01T19:01:26.797Z;Em Sprint;Backlog;7,040388541666666
99636;4;2024-02-01T14:53:11.717Z;Funil;Backlog;0,00016975694444444444
99636;7;2024-02-01T20:46:23.303Z;Backlog;Desenv;0,2452729861111111
100888;6;2024-02-01T13:06:13.827Z;Funil;Desenv;2,6741490046296295
100888;7;2024-02-01T13:08:17.477Z;Desenv;Entregue HML;0,0014311342592592594
100888;8;2024-02-01T21:22:38.57Z;Entregue HML;Desenv;0,3432996875
100957;3;2024-02-02T11:50:41.883Z;Funil;Refinamento;5,157407407407408e-05
100957;6;2024-02-02T11:52:15.907Z;Refinamento;Backlog;0,0010882407407407407
118763;3;2024-02-01T11:22:14.36Z;New;Active;0,0001378125
116986;11;2024-02-01T12:58:54.96Z;Desenv;Test;0,9820268171296296
118476;5;2024-02-01T12:59:12.667Z;New;Desenv;1,9730773148148149
105564;8;2024-02-01T13:34:51.743Z;Test;Resolved;90,05343417824075
112049;5;2024-02-01T13:34:55.09Z;New;Resolved;52,05136898148148
118046;2;2024-02-01T19:49:30.247Z;New;Active;7,3033732291666675
118046;10;2024-02-02T02:40:06.323Z;Closed;Resolved;2,6111111111111107e-05
117552;16;2024-02-01T12:14:29.067Z;Teste;Wait Release;1,0063687152777778
117552;20;2024-02-01T13:04:24.93Z;Wait Release;Aceite do usuário;0,03467434027777778
99217;4;2024-02-01T17:39:26.797Z;New;Refinamento;127,98084189814816
116407;8;2024-02-01T14:43:27.663Z;Para desenvolvimento;Em Desenvolvimento;7,7898129166666665
116407;13;2024-02-01T17:09:16.17Z;Em Desenvolvimento;PR;0,10125586805555555
118902;3;2024-02-01T17:51:44.603Z;New;Planejado;4,5949074074074074e-05
117554;10;2024-02-01T14:42:52.04Z;Em Desenvolvimento;PR;1,8124084143518517
117555;17;2024-02-01T12:19:09.067Z;Teste;Wait Release;1,0200536342592592
117555;19;2024-02-01T13:01:37.517Z;Wait Release;Aceite do usuário;0,02949594907407407
118904;4;2024-02-01T17:54:00.427Z;New;Wait release;0,00032118055555555556
116828;10;2024-02-01T17:09:28.32Z;Para desenvolvimento;Em Desenvolvimento;12,923513425925927
118937;3;2024-02-01T20:10:30.57Z;Backlog;To do;2,7627314814814816e-05
114903;19;2024-02-01T12:18:00.51Z;Para teste;Teste;2,026380787037037
114903;21;2024-02-02T12:04:05.22Z;Teste;Wait Release;0,9903322916666667
Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
62308;9;2024-02-01T12:21:10.41Z;Em Desenvolvimento;Wait Release;22,762276041666667
62309;2;2024-02-01T12:05:14.46Z;Backlog;Em desenvolvimento;0,0003256944444444444
62309;5;2024-02-01T13:12:20.16Z;Em desenvolvimento;Para teste;0,046593749999999996
62310;2;2024-02-01T14:27:02.947Z;Backlog;Planejado - TRI atual;1,0844907407407409e-05
60617;3;2024-02-01T16:57:10.097Z;Backlog;Definição funcional;0,06881203703703703
